

libgomp: Invalid value for environment variable OMP_NUM_THREADS

libgomp: Invalid value for environment variable OMP_NUM_THREADS
256
Training with 200 data, testing with 100 data, for 80 epochs...
Rep 0, Training with 200 data, Training at Epoch 1, train acc 0.255, train cost 1.3803, test acc 0.29, test cost 1.3778, avg epoch time 10175.8317, total time 10175.8317
Rep 0, Training with 200 data, Training at Epoch 2, train acc 0.41, train cost 1.3756, test acc 0.26, test cost 1.3799, avg epoch time 5557.0604, total time 11114.1208
Rep 0, Training with 200 data, Training at Epoch 3, train acc 0.315, train cost 1.3775, test acc 0.26, test cost 1.3767, avg epoch time 4009.6595, total time 12028.9785
Rep 0, Training with 200 data, Training at Epoch 4, train acc 0.345, train cost 1.3787, test acc 0.29, test cost 1.3825, avg epoch time 3227.2343, total time 12908.9371
Rep 0, Training with 200 data, Training at Epoch 5, train acc 0.42, train cost 1.3623, test acc 0.34, test cost 1.3736, avg epoch time 2749.3985, total time 13746.9924
Rep 0, Training with 200 data, Training at Epoch 6, train acc 0.415, train cost 1.3643, test acc 0.39, test cost 1.3731, avg epoch time 2437.7978, total time 14626.7867
Rep 0, Training with 200 data, Training at Epoch 7, train acc 0.425, train cost 1.3659, test acc 0.39, test cost 1.3751, avg epoch time 2215.197, total time 15506.3789
Rep 0, Training with 200 data, Training at Epoch 8, train acc 0.405, train cost 1.3642, test acc 0.34, test cost 1.3795, avg epoch time 2047.1767, total time 16377.4138
Rep 0, Training with 200 data, Training at Epoch 9, train acc 0.455, train cost 1.3621, test acc 0.45, test cost 1.3725, avg epoch time 1914.1811, total time 17227.6297
Rep 0, Training with 200 data, Training at Epoch 10, train acc 0.5, train cost 1.3648, test acc 0.45, test cost 1.3692, avg epoch time 1808.8831, total time 18088.8313
Rep 0, Training with 200 data, Training at Epoch 11, train acc 0.495, train cost 1.3577, test acc 0.47, test cost 1.3652, avg epoch time 1727.6168, total time 19003.7843
Rep 0, Training with 200 data, Training at Epoch 12, train acc 0.45, train cost 1.3597, test acc 0.41, test cost 1.3619, avg epoch time 1656.8758, total time 19882.5091
Rep 0, Training with 200 data, Training at Epoch 13, train acc 0.455, train cost 1.3584, test acc 0.37, test cost 1.3581, avg epoch time 1593.9414, total time 20721.2387
Rep 0, Training with 200 data, Training at Epoch 14, train acc 0.45, train cost 1.3558, test acc 0.46, test cost 1.3549, avg epoch time 1544.9813, total time 21629.7379
Rep 0, Training with 200 data, Training at Epoch 15, train acc 0.455, train cost 1.3565, test acc 0.43, test cost 1.3581, avg epoch time 1499.7798, total time 22496.6967
Rep 0, Training with 200 data, Training at Epoch 16, train acc 0.38, train cost 1.3596, test acc 0.43, test cost 1.3557, avg epoch time 1462.3806, total time 23398.0902
Rep 0, Training with 200 data, Training at Epoch 17, train acc 0.38, train cost 1.3601, test acc 0.38, test cost 1.3579, avg epoch time 1426.5347, total time 24251.0903
Rep 0, Training with 200 data, Training at Epoch 18, train acc 0.41, train cost 1.3578, test acc 0.36, test cost 1.3593, avg epoch time 1393.7309, total time 25087.1561
Rep 0, Training with 200 data, Training at Epoch 19, train acc 0.375, train cost 1.3568, test acc 0.39, test cost 1.3561, avg epoch time 1364.8972, total time 25933.0465
Rep 0, Training with 200 data, Training at Epoch 20, train acc 0.41, train cost 1.3542, test acc 0.4, test cost 1.3583, avg epoch time 1340.2164, total time 26804.3287
Rep 0, Training with 200 data, Training at Epoch 21, train acc 0.41, train cost 1.3559, test acc 0.36, test cost 1.3659, avg epoch time 1320.0309, total time 27720.6497
Rep 0, Training with 200 data, Training at Epoch 22, train acc 0.4, train cost 1.3543, test acc 0.34, test cost 1.3676, avg epoch time 1299.2197, total time 28582.8329
Rep 0, Training with 200 data, Training at Epoch 23, train acc 0.51, train cost 1.3474, test acc 0.5, test cost 1.3497, avg epoch time 1280.3161, total time 29447.2714
Rep 0, Training with 200 data, Training at Epoch 24, train acc 0.435, train cost 1.3477, test acc 0.38, test cost 1.3575, avg epoch time 1262.0201, total time 30288.4822
Rep 0, Training with 200 data, Training at Epoch 25, train acc 0.42, train cost 1.3419, test acc 0.38, test cost 1.3561, avg epoch time 1246.0028, total time 31150.0693
Rep 0, Training with 200 data, Training at Epoch 26, train acc 0.475, train cost 1.3389, test acc 0.37, test cost 1.357, avg epoch time 1235.1234, total time 32113.2075
Rep 0, Training with 200 data, Training at Epoch 27, train acc 0.465, train cost 1.334, test acc 0.36, test cost 1.3518, avg epoch time 1221.2363, total time 32973.3788
Rep 0, Training with 200 data, Training at Epoch 28, train acc 0.485, train cost 1.3347, test acc 0.42, test cost 1.3514, avg epoch time 1208.3276, total time 33833.1739
Rep 0, Training with 200 data, Training at Epoch 29, train acc 0.505, train cost 1.3339, test acc 0.42, test cost 1.3499, avg epoch time 1196.3654, total time 34694.5968
Rep 0, Training with 200 data, Training at Epoch 30, train acc 0.505, train cost 1.3301, test acc 0.4, test cost 1.3466, avg epoch time 1184.5784, total time 35537.3505
Rep 0, Training with 200 data, Training at Epoch 31, train acc 0.505, train cost 1.3304, test acc 0.44, test cost 1.3481, avg epoch time 1173.7692, total time 36386.8439
Rep 0, Training with 200 data, Training at Epoch 32, train acc 0.455, train cost 1.3315, test acc 0.38, test cost 1.3475, avg epoch time 1164.0165, total time 37248.5275
Rep 0, Training with 200 data, Training at Epoch 33, train acc 0.51, train cost 1.3319, test acc 0.38, test cost 1.3467, avg epoch time 1154.8655, total time 38110.5605
Rep 0, Training with 200 data, Training at Epoch 34, train acc 0.475, train cost 1.3275, test acc 0.35, test cost 1.3446, avg epoch time 1146.4566, total time 38979.5249
Rep 0, Training with 200 data, Training at Epoch 35, train acc 0.515, train cost 1.3312, test acc 0.38, test cost 1.3414, avg epoch time 1137.9374, total time 39827.809
Rep 0, Training with 200 data, Training at Epoch 36, train acc 0.585, train cost 1.3229, test acc 0.46, test cost 1.3394, avg epoch time 1131.0279, total time 40717.0038
Rep 0, Training with 200 data, Training at Epoch 37, train acc 0.54, train cost 1.3193, test acc 0.44, test cost 1.3379, avg epoch time 1123.7983, total time 41580.5355
Rep 0, Training with 200 data, Training at Epoch 38, train acc 0.595, train cost 1.3185, test acc 0.44, test cost 1.34, avg epoch time 1116.4572, total time 42425.3744
Rep 0, Training with 200 data, Training at Epoch 39, train acc 0.6, train cost 1.322, test acc 0.42, test cost 1.3431, avg epoch time 1110.283, total time 43301.0351
Rep 0, Training with 200 data, Training at Epoch 40, train acc 0.535, train cost 1.3212, test acc 0.43, test cost 1.3397, avg epoch time 1103.5288, total time 44141.1509
Rep 0, Training with 200 data, Training at Epoch 41, train acc 0.6, train cost 1.3195, test acc 0.47, test cost 1.3421, avg epoch time 1097.4291, total time 44994.5921
